Cluster,LMEs,,,,,,,
NW Europe,22,23,24,60,,,,
Nordic Seas,19,21,59,,,,,
Barents Sea,20,,,,,
E Canadian Arctic,66,,,,,
W Canadian Arctic,66,55,,,,
Eurasian Arctic,57,56,58,
"Med, Ibi, Black Seas",25,26,62,,,,,
NW Africa,27,28,,,,,,
SW Africa,29,,,,,
E Africa,30,31,,,,,
S Asia,33,32,34,,,,,
SE Asia,35,36,37,38,,,,
"Australia,NZ",40,41,42,43,44,45,39,46
E Asia,48,47,49,50,51,52,,
NW N America,2,,,,,,,
W N America,3,4,,,,,,
C America,11,5,12,,,,,
NE S America,17,16,,,,,,
SE S America,15,14,,,,,,
W S America,13,,,,,,,
E N America,6,7,8,,,,,
N E N America,63,18,9,,,,,
Bering Sea,1,64,65,53,,,,
